[2461.0, 8]
[5352.0, 19]
[8295.0, 52]
[8325.0, 50]
[44193.0, 28]
[1525.0, 17]
[909.0, 9]
[968.0, 9]
[4742.0, 17]
[4770.0, 30]
[3408.0, 20]
[1617.0, 13]
[1942.0, 11]
[4078.9999999999995, 32]
[2047.0000000000002, 10]
[1396.0, 6]
[2256.0, 13]
[9535.0, 60]
[12742.0, 72]
[2973.0, 14]
[2112.0, 12]
[3800.0, 24]
[15895.0, 59]
[4351.0, 22]
[4905.0, 24]
[6733.0, 42]
[11819.0, 64]
[26241.0, 136]
[26294.0, 105]
[40753.0, 164]
[2776.0, 18]
[6957.0, 21]
[7809.0, 49]
[7057.0, 45]
[2281.0, 12]
[1783.0, 11]
[1842.0, 7]
[9495.0, 56]
[2983.0, 19]
[3989.0, 23]
[3311.0, 19]
[4017.0000000000005, 26]
[2607.0, 17]
[8064.999999999999, 49]
[3852.0, 26]
[12297.0, 76]
[4528.0, 28]
[8499.0, 43]
[9242.0, 46]
[7035.0, 64]
[2567.0, 14]
[2282.0, 18]
[7537.0, 39]
[2984.0, 15]
[4409.0, 28]
[621.0, 6]
[9863.0, 56]
[5120.0, 36]
[4059.0, 14]
[4480.0, 24]
[3239.0, 18]
[5816.0, 30]
[2240.0, 14]
[1376.0, 7]
[1361.0, 7]
[5532.0, 33]
[5999.0, 42]
[5472.0, 34]
[4563.0, 31]
[6211.0, 38]
[1341.0, 8]
[4419.0, 28]
[3433.0, 12]
[0.0, 1]
[0.0, 1]
[2791.0, 23]
[2992.0, 18]
[4746.0, 29]
[1664.0, 14]
[2177.0, 8]
[1264.0, 5]
[3930.0, 19]
[2953.0, 12]
[2205.0, 4]
[18230.0, 100]
[3346.0, 12]
[7568.0, 34]
[3294.0, 15]
[368.0, 3]
[16178.0, 101]
[6880.0, 43]
[1592.0, 12]
[5558.0, 33]
[415.0, 4]
[1807.0, 12]
[3492.0, 22]
[17129.0, 83]
[7378.0, 32]
[13897.0, 69]
[3599.0, 28]
[6809.0, 34]
[472.0, 4]
[7257.0, 31]
[9369.0, 68]
[10459.0, 60]
[4793.0, 23]
[3057.0, 24]
[618.0, 2]
[513.0, 3]
[2160.0, 11]
[1581.0, 12]
[7046.0, 29]
[1552.0, 6]
[9220.0, 46]
[10792.0, 60]
[2976.0, 19]
[5153.0, 31]
[5872.0, 33]
[3369.0, 24]
[9871.0, 49]
[8335.0, 44]
[2065.0, 12]
[2433.0, 15]
[5603.0, 27]
[8079.000000000001, 36]
[6974.0, 40]
[2855.0, 12]
[1689.0, 7]
[6921.0, 34]
[3696.0, 18]
[5218.0, 14]
[1913.0, 7]
[5328.0, 24]
[1385.0, 7]
[4314.0, 16]
[14352.0, 52]
[4833.0, 29]
[2454.0, 12]
[1129.0, 5]
[392.0, 3]
[5753.0, 35]
[2489.0, 13]
[6473.0, 22]
[3423.0, 18]
[22598.0, 104]
[10561.0, 75]
[7760.0, 42]
[2578.0, 13]
[17048.0, 108]
[1575.0, 9]
[8080.0, 47]
[1697.0, 6]
[3191.0, 17]
[10753.0, 38]
[9839.0, 35]
[694.0, 3]
[4021.0, 18]
[3751.0, 14]
[5831.0, 14]
[4945.0, 29]
[558.0, 2]
[489.0, 3]
[1992.0, 5]
[5159.0, 11]
[6401.0, 22]
[4614.0, 31]
[9897.0, 46]
[1727.0, 7]
[6369.0, 38]
[1937.0, 9]
[1097.0, 5]
[4848.0, 18]
[16274.0, 54]
[14233.0, 86]
[1159.0, 7]
[2418.0, 15]
[6755.0, 48]
[1825.0, 8]
[719.0, 5]
[1840.0, 12]
[5833.0, 36]
[7328.0, 38]
[5027.0, 33]
[1880.0, 12]
[559.0, 5]
[1226.0, 5]
[6345.0, 44]
[1761.0, 11]
[3632.0, 22]
[745.0, 6]
[13764.0, 61]
[1132.0, 7]
[0.0, 1]
