[14034.0, 83]
[5399.0, 22]
[2383.0, 13]
[4887.0, 14]
[3482.0, 12]
[4696.0, 22]
[1106.0, 6]
[1985.0, 7]
[1928.0, 7]
[5495.0, 20]
[9373.0, 37]
[2580.0, 10]
[16017.0, 45]
[3647.0, 14]
[3551.0, 15]
[2845.0, 16]
[4276.0, 12]
[6717.0, 29]
[5464.0, 21]
[2689.0, 12]
[1671.0, 10]
[7218.0, 33]
[4902.0, 15]
[14212.0, 35]
[8773.0, 22]
[5366.0, 28]
[2419.0, 10]
[2388.0, 9]
[1894.0, 10]
[4690.0, 20]
[5663.0, 27]
[5494.0, 28]
[1205.0, 6]
[4332.0, 22]
[21559.0, 80]
[76253.0, 43]
[2953.0, 10]
[722.0, 4]
[423.0, 4]
[6328.0, 20]
[1828.0, 8]
[4401.0, 17]
[2566.0, 14]
[4497.0, 26]
[9234.0, 33]
[2925.0, 15]
[2004.0, 12]
[1941.0, 9]
[3594.0, 21]
[31969.0, 62]
[7627.0, 30]
[15408.0, 70]
[2525.0, 12]
[46959.0, 139]
[36631.0, 101]
[629.0, 4]
[33145.0, 78]
[15448.0, 66]
[826.0, 5]
[1068.0, 5]
[411.0, 3]
[4231.0, 15]
[4995.0, 26]
[2310.0, 13]
[1268.0, 8]
[27424.0, 59]
[7593.0, 33]
[6608.0, 17]
[2231.0, 14]
[13814.0, 49]
[3536.0, 11]
[11005.0, 48]
[10510.0, 44]
[1799.0, 10]
[9114.0, 37]
[12118.0, 60]
[4035.9999999999995, 10]
[3733.0, 15]
[4255.0, 24]
[6635.0, 12]
[5358.0, 27]
[741.0, 5]
[5452.0, 23]
[4329.0, 14]
[5367.0, 23]
[543.0, 3]
[4805.0, 24]
[8881.0, 27]
[12359.0, 35]
[4636.0, 19]
[2946.0, 13]
[6780.0, 33]
[2878.0, 15]
[1936.0, 8]
[20055.0, 71]
[508.0, 5]
[2044.0, 10]
[7748.0, 39]
[5813.0, 27]
[6808.0, 17]
[3553.0, 17]
[21704.0, 87]
[13404.0, 54]
[65075.0, 205]
[207598.0, 357]
[2213.0, 13]
[16311.0, 44]
[5512.0, 21]
[19462.0, 83]
[30679.0, 98]
[15553.0, 46]
[18166.0, 61]
[12607.0, 57]
[52975.0, 120]
[20538.0, 50]
[7173.0, 31]
[13070.0, 43]
[20834.0, 60]
[21391.0, 103]
[54230.0, 115]
[5328.0, 16]
[5740.0, 25]
[18965.0, 83]
[7085.0, 27]
[21837.0, 99]
[11788.0, 54]
[3448.0, 21]
[8359.0, 39]
[2185.0, 7]
[9357.0, 27]
[2263.0, 13]
[5031.0, 20]
[15653.0, 40]
[2242.0, 14]
[1661.0, 9]
[2425.0, 8]
[22734.0, 65]
[107714.0, 82]
[2079.0, 8]
[2755.0, 9]
[2759.0, 13]
[9684.0, 17]
[4189.0, 19]
[16328.0, 10]
[11644.0, 34]
[1441.0, 12]
[9408.0, 10]
[8357.0, 33]
[7052.0, 14]
[0.0, 1]
[2173.0, 12]
[1762.0, 6]
[1956.0, 12]
[1438.0, 8]
[5470.0, 40]
[3861.0, 11]
[5816.0, 13]
[710.0, 4]
[13998.0, 36]
[6567.0, 13]
[25833.0, 21]
[2188.0, 18]
[13262.0, 46]
[1563.0, 11]
[5446.0, 23]
[3264.0, 19]
[9969.0, 14]
[4753.0, 18]
[3765.0, 16]
[9671.0, 18]
[8943.0, 31]
[389.0, 3]
[5340.0, 13]
[3097.0, 10]
[4253.0, 6]
[4551.0, 11]
[3880.0, 8]
[16988.0, 58]
[3772.0, 12]
[946.0, 6]
[1630.0, 9]
[2710.0, 9]
[2574.0, 12]
[7688.0, 28]
[7805.0, 38]
[4710.0, 9]
[5667.0, 33]
[4615.0, 15]
[3429.0, 4]
[12342.0, 32]
[8307.0, 32]
[2369.0, 10]
[6374.0, 18]
[2835.0, 18]
[19556.0, 32]
[6956.0, 12]
[5158.0, 23]
[2551.0, 10]
[4045.0, 15]
[14847.0, 51]
[1448.0, 6]
[3191.0, 15]
[23146.0, 40]
[21343.0, 72]
[5241.0, 22]
[8038.0, 28]
[7108.0, 24]
[16116.0, 39]
[2725.0, 9]
[13532.0, 70]
[22315.0, 40]
[3543.0, 13]
[3509.0, 15]
[692.0, 3]
[248.0, 3]
[527.0, 5]
[7568.0, 40]
[3558.0, 11]
[6713.0, 22]
[15260.0, 25]
[1674.0, 8]
[2654.0, 17]
[0.0, 1]
[833.0, 4]
[2779.0, 12]
[10513.0, 50]
[67301.0, 86]
[3669.0, 8]
[9454.0, 34]
[11947.0, 45]
[42166.0, 94]
[2012.0, 7]
[6238.0, 26]
[7499.0, 44]
[4940.0, 22]
[6790.0, 26]
[11578.0, 34]
[3878.0, 16]
[48681.0, 51]
[1882.0, 11]
[3112.0, 10]
[6868.0, 21]
[5061.0, 31]
[9921.0, 22]
[17160.0, 21]
[381.0, 3]
[483.0, 4]
[6245.0, 37]
[0.0, 1]
[3849.0, 14]
[6419.0, 24]
[3996.0, 23]
[1924.0, 7]
[1680.0, 13]
[3631.0, 13]
[1725.0, 4]
[663.0, 4]
[4614.0, 24]
[218.0, 3]
[1455.0, 8]
[996.0, 7]
[1398.0, 9]
[7505.0, 30]
[283.0, 2]
[5246.0, 8]
[1415.0, 10]
[1096.0, 8]
[3304.0, 8]
[1397.0, 3]
[5428.0, 7]
[2718.0, 16]
[3486.0, 9]
[3652.0, 19]
[4622.0, 23]
[2379.0, 12]
[2796.0, 11]
[3249.0, 10]
[7773.0, 33]
[401.0, 3]
[4365.0, 25]
[0.0, 1]
[684.0, 6]
[349.0, 4]
[639.0, 5]
[2862.0, 19]
[782.0, 7]
[2255.0, 14]
[781.0, 6]
[3010.0, 14]
[1798.0, 14]
[1326.0, 9]
[1175.0, 6]
[1081.0, 5]
[342.0, 5]
[2272.0, 12]
[1620.0, 8]
[5308.0, 26]
[1915.0, 12]
[1713.0, 7]
[1008.0, 8]
[633.0, 6]
[2363.0, 10]
[3700.0, 18]
[511.0, 4]
[3654.0, 24]
[1407.0, 7]
[3043.0, 19]
[1149.0, 6]
[1899.0, 6]
[1942.0, 10]
[4134.0, 16]
[1488.0, 4]
[478.0, 5]
[1000.9999999999999, 6]
[668.0, 5]
[2652.0, 14]
[10374.0, 48]
[351.0, 4]
[5840.0, 27]
[3115.0, 18]
[3279.0, 15]
[8641.0, 34]
[414.0, 4]
[3503.0, 21]
[1794.0, 11]
[1643.0, 5]
[793.0, 4]
[2735.0, 13]
[11686.0, 67]
[1350393.0, 34]
[7870.0, 33]
[25270.0, 98]
[9008.0, 42]
[1087.0, 8]
[8259.0, 72]
[1984.0, 20]
[2828.0, 26]
[5260.0, 22]
[6649.0, 29]
[2128.0, 15]
[0.0, 1]
[1952.0, 7]
[23177.0, 82]
[6402.0, 23]
[6997.0, 28]
[3362.0, 12]
[2587.0, 14]
[1362.0, 10]
[1940.0, 9]
[19178.0, 59]
[4199.0, 15]
[1269.0, 5]
[1975.0, 11]
[5255.0, 21]
[475.0, 3]
[477.0, 4]
[3391.0, 14]
[2066.0, 8]
[1002.9999999999999, 5]
[18608.0, 52]
[1906.0, 8]
[3797.0, 16]
[3374.0, 11]
[4429.0, 11]
[3365.0, 16]
[7007.0, 24]
[5406.0, 22]
[16326.0, 62]
[2758.0, 12]
[10680.0, 35]
[2276.0, 8]
[251.0, 2]
[332.0, 2]
[18871.0, 30]
[1884.0, 9]
[1399.0, 4]
[1514.0, 4]
[1543.0, 7]
[8973.0, 19]
[6561.0, 19]
[1165.0, 8]
[6303.0, 24]
[1016.0, 5]
[1032.0, 4]
[1933.0, 4]
[1542.0, 6]
[1165.0, 4]
[2704.0, 18]
[0.0, 1]
[2862.0, 11]
[2063.0, 10]
[4823.0, 25]
[454.0, 5]
[30859.0, 76]
[2690.0, 9]
[1769.0, 7]
[748.0, 6]
[6651.0, 30]
[5199.0, 20]
[5747.0, 25]
[4266.0, 18]
[5673.0, 22]
[3222.0, 15]
[1436.0, 9]
[4588.0, 29]
[779.0, 5]
[3530.0, 26]
[8720.0, 24]
[2738.0, 11]
[2455.0, 10]
[12234.0, 62]
[5102.0, 16]
[828.0, 6]
[8864.0, 46]
[1252.0, 10]
[4266.0, 13]
[2981.0, 11]
[4373.0, 19]
[10119.0, 45]
[1398.0, 7]
[13349.0, 50]
[4791.0, 28]
[3883.0, 23]
[730.0, 4]
[26848.0, 26]
[3317.0, 18]
[2211.0, 17]
[3319.0, 18]
[2334.0, 13]
[291.0, 4]
[1096.0, 10]
[5700.0, 29]
[1325.0, 12]
[2903.0, 18]
[1516.0, 12]
[2842.0, 13]
[7408.0, 34]
[2375.0, 10]
[964.0, 5]
[16058.0, 40]
[7328.0, 23]
[18627.0, 16]
[4942.0, 19]
[4661.0, 15]
[3992.0, 21]
[10494.0, 37]
[7585.0, 16]
[995.0, 3]
[5390.0, 8]
[4197.0, 15]
[823.0, 4]
[17909.0, 31]
[522.0, 3]
[1646.0, 4]
[2743.0, 6]
[1490.0, 5]
[3687.0, 12]
[8528.0, 20]
[4083.9999999999995, 18]
[3282.0, 15]
[950.0, 5]
[2358.0, 11]
[1680.0, 7]
[1959.0, 10]
[2175.0, 12]
[3631.0, 12]
[1822.0, 11]
[3588.0, 17]
[2722.0, 7]
[8789.0, 22]
[11409.0, 38]
[1192.0, 3]
[2751.0, 8]
[1922.0, 5]
[2864.0, 15]
[1434.0, 2]
[0.0, 1]
[0.0, 1]
[9436.0, 22]
[2853.0, 14]
[9154.0, 33]
[5463.0, 23]
[0.0, 1]
[1954.0, 8]
[1556.0, 2]
[8200.0, 25]
[9925.0, 28]
[4600.0, 12]
[5328.0, 13]
[6564.0, 12]
[3727.0, 11]
[3459.0, 26]
[3269.0, 17]
[3354.0, 21]
[1885.0, 13]
[4590.0, 17]
[2794.0, 14]
[795.0, 6]
[1556.0, 12]
[918.0, 8]
[3069.0, 17]
[6259.0, 30]
[2820.0, 6]
[1572.0, 5]
[2166.0, 14]
[2765.0, 7]
[806.0, 4]
[6863.0, 33]
[3193.0, 15]
[2435.0, 8]
[1344.0, 7]
[1955.0, 9]
[7351.0, 23]
[2831.0, 14]
[848.0, 8]
[2574.0, 15]
[2479.0, 5]
[1254.0, 11]
[8814.0, 42]
[1210.0, 4]
[4853.0, 17]
[717.0, 4]
[10574.0, 28]
[12219.0, 60]
[351.0, 3]
[1256.0, 7]
[9255.0, 44]
[4017.0000000000005, 13]
[605.0, 6]
[3517.0, 16]
[3464.0, 20]
[2488.0, 14]
[624.0, 5]
[3348.0, 19]
[5134.0, 23]
[3959.0, 16]
[1191.0, 5]
[4549.0, 24]
[23222.0, 60]
[5181.0, 17]
[6056.0, 16]
[2490.0, 10]
[5295.0, 27]
[1187.0, 8]
[2415.0, 10]
[2414.0, 13]
[4156.0, 27]
[1614.0, 8]
[2264.0, 11]
[0.0, 1]
[6519.0, 44]
[495.0, 4]
[11097.0, 36]
[7393.0, 29]
[25865.0, 58]
[1026.0, 4]
[2232.0, 10]
[9094.0, 33]
[14712.0, 45]
[7374.0, 21]
[965.0, 3]
[5844.0, 28]
[3156.0, 10]
[3698.0, 12]
[1991.0, 8]
[1304.0, 4]
[5326.0, 27]
[3312.0, 20]
[1104.0, 6]
[3710.0, 16]
[2992.0, 18]
[1547.0, 13]
[1311.0, 11]
[3300.0, 8]
[11290.0, 15]
[2158.0, 5]
[2066.0, 5]
[2007.0000000000002, 5]
[1777.0, 5]
[3914.0, 6]
[0.0, 1]
[4434.0, 31]
[5915.0, 24]
[403.0, 3]
[9114.0, 25]
[10105.0, 36]
[2174.0, 12]
[3154.0, 12]
[6840.0, 23]
[8055.0, 26]
[3392.0, 11]
[11585.0, 34]
[2353.0, 8]
[9702.0, 10]
[3779.0, 10]
[4554.0, 8]
[4674.0, 21]
[5564.0, 27]
[4231.0, 12]
[3767.0, 10]
[8696.0, 17]
[9478.0, 45]
[6230.0, 24]
[3921.0, 8]
[3948.0, 26]
[2755.0, 10]
[2719.0, 14]
[723.0, 4]
[3648.0, 10]
[1646.0, 7]
[124210.0, 87]
[2271.0, 13]
[1830.0, 12]
[8904.0, 24]
[5269.0, 20]
[5761.0, 22]
[5440.0, 35]
[4400.0, 18]
[1213.0, 6]
[2171.0, 16]
[45790.0, 10]
[959.0, 6]
[1236.0, 10]
[21118.0, 86]
[11106.0, 21]
[20344.0, 61]
[70820.0, 192]
[95807.0, 122]
[1145.0, 6]
[7478.0, 52]
[3128.0, 19]
[12067.0, 31]
[1501.0, 4]
[272.0, 3]
[1143.0, 6]
[589.0, 4]
[4823.0, 26]
[2637.0, 13]
[633.0, 4]
[2957.0, 12]
[1730.0, 15]
[3765.0, 20]
[6813.0, 45]
[878.0, 6]
[6008.0, 26]
[7323.0, 38]
[6084.0, 24]
